CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010259,Q763,S,202306
0201010259,Q764,S,202306
0201010259,Q780,S,202306
0201010259,Q781,S,202306
0201010259,Q782,S,202306
0201010259,Q784,S,202306
0201010259,Q788,S,202306
0201010259,Q789,S,202306
0201010259,Q874,S,202306
0201010259,S122,S,202306
0201010259,S130,S,202306
0201010259,S131,S,202306
0201010259,S220,S,202306
0201010259,S221,S,202306
0201010259,S230,S,202306
0201010259,S231,S,202306
0201010259,S320,S,202306
0201010259,S321,S,202306
0201010259,S327,S,202306
0201010259,S328,S,202306
0201010259,S330,S,202306
0201010259,S331,S,202306
0201010259,T840,S,202306
0201010259,T842,S,202306
0201010259,T843,S,202306
0201010259,T844,S,202306
0201010259,T845,S,202306
0201010259,T846,S,202306
0201010259,T847,S,202306
0201010259,T848,S,202306
0201010259,T849,S,202306
0201010259,T911,S,202306
0201010259,T913,S,202306
0201010259,T918,S,202306
0201010259,T919,S,202306
0201010267,Z018,S,202306
0201010275,C795,S,202306
0201010275,C910,S,202306
0201010275,C911,S,202306
0201010275,C913,S,202306
0201010275,C914,S,202306
0201010275,C915,S,202306
0201010275,C917,S,202306
0201010275,C920,S,202306
0201010275,C921,S,202306
0201010275,C923,S,202306
0201010275,C924,S,202306
0201010275,C925,S,202306
0201010275,C927,S,202306
0201010275,C930,S,202306
0201010275,C931,S,202306
0201010275,C937,S,202306
0201010275,C940,S,202306
0201010275,C942,S,202306
0201010275,C943,S,202306
0201010275,C944,S,202306
0201010275,C945,S,202306
0201010275,C947,S,202306
0201010275,C950,S,202306
0201010275,C960,S,202306
0201010275,C961,S,202306
0201010275,C962,S,202306
0201010275,C967,S,202306
0201010275,D45,S,202306
0201010275,D460,S,202306
0201010275,D461,S,202306
0201010275,D462,S,202306
0201010275,D463,S,202306
0201010275,D467,S,202306
0201010275,D473,S,202306
0201010275,D595,S,202306
0201010275,D600,S,202306
0201010275,D601,S,202306
0201010275,D608,S,202306
0201010275,D610,S,202306
0201010275,D611,S,202306
0201010275,D612,S,202306
0201010275,D613,S,202306
0201010275,D618,S,202306
0201010275,D731,S,202306
0201010275,D760,S,202306
0201010275,D761,S,202306
0201010275,D762,S,202306
0201010275,D763,S,202306
0201010275,E752,S,202306
0201010275,Q782,S,202306
0201010275,Q822,S,202306
0201010283,C491,S,202306
0201010283,C492,S,202306
0201010283,C499,S,202306
0201010283,D212,S,202306
0201010283,D369,S,202306
0201010283,G121,S,202306
0201010283,G128,S,202306
0201010283,G710,S,202306
0201010283,G711,S,202306
0201010283,G712,S,202306
0201010283,G713,S,202306
0201010283,G718,S,202306
0201010283,G719,S,202306
0201010283,M600,S,202306
0201010283,M601,S,202306
0201010283,M602,S,202306
0201010283,M608,S,202306
0201010283,M609,S,202306
0201010283,M629,S,202306
0201010283,M630,S,202306
0201010283,M631,S,202306
0201010283,M632,S,202306
0201010283,M633,S,202306
0201010283,M638,S,202306
0201010305,C400,S,202306
0201010305,C408,S,202306
0201010305,C409,S,202306
0201010305,C413,S,202306
0201010305,D160,S,202306
0201010305,D167,S,202306
0201010305,D169,S,202306
0201010305,M000,S,202306
0201010305,M001,S,202306
